Nazwisko aktualne,Liczba
KASIARZ,202
KLAPA,202
KLEPUSZEWSKA,202
KONONIUK,202
KOPERTOWSKA,202
KORYCZAN,202
KROŚNICKA,202
KRUŻYCKA,202
KRYSZCZYŃSKA,202
KRZYSTECZKO,202
KUCHARCZAK,202
LENCZOWSKA,202
LETKA,202
MARASEK,202
MATLĄG,202
MATVIICHUK,202
MAŻEWSKA,202
MIRON,202
MRZYK,202
NAWŁOKA,202
NIKITIUK,202
NOWOCIN,202
PLENZLER,202
PODLASIAK,202
POPKOWSKA,202
PRYBA,202
RYSAK,202
SAMSONOWICZ,202
SENDROWSKA,202
SERWATA,202
SHAPOVALOVA,202
SOBIESZCZUK,202
SOBKO,202
SPALIŃSKA,202
STEFANKO,202
SZABAŁA,202
SZCZUKOCKA,202
SZKAŁUBA,202
SZTANDARSKA,202
SZTWIERTNIA,202
TRZASKAWKA,202
TYLAK,202
WASIUTA,202
WĘDZICHA,202
WILKOŃSKA,202
WŁUDARCZYK,202
WOLSZTYNIAK,202
WÓJCIUK,202
ZAWIERTA,202
ZDZIENICKA,202
ŻABIK,202
BAC,201
BAZIUK,201
BOJKOWSKA,201
BRZEGOWA,201
BUCHAŁA,201
BURANDT,201
BURIAN,201
CEDZIDŁO,201
CHAMOT,201
CHLEBNA,201
CIWIŃSKA,201
COPIJA,201
ĆWIĘKAŁA,201
DEĆ,201
DRESLER,201
DWORSKA,201
DZIELIŃSKA,201
FORYSTEK,201
FRÖHLICH,201
GĄSIŃSKA,201
GEBEL,201
GINDA,201
GLIBOWSKA,201
HAJDO,201
HAWROT,201
HYŁA,201
JANK,201
JARONI,201
JERUZAL,201
KAJZAR,201
KILJAŃCZYK,201
KŁAPKOWSKA,201
KONCZALSKA,201
KOPACZYŃSKA,201
KORYCIAK,201
KOSESKA,201
KOŹLICKA,201
KROPACZ,201
KUDLEK,201
KUKLEWICZ,201
KURPIOS,201
KUŻAJ,201
LIBNER,201
ŁODYGOWSKA,201
MAGNOWSKA,201
MICEWICZ,201
MISZTAK,201
NIEKURZAK,201
OBACZ,201
OGRODZIŃSKA,201
PACER,201
PATALONG,201
POBORSKA,201
POLLAK,201
POLNIAK,201
PRZETACZNIK,201
RADUCKA,201
RAŹNY,201
RYŻEWSKA,201
SAJDOK,201
SIEKIERZYŃSKA,201
SOBIŃSKA,201
STARSZAK,201
ŚLIWAK,201
TARASZEWSKA,201
TROCHONOWICZ,201
TRUSIAK,201
WALASIAK,201
WALAWSKA,201
WAŁKUSKA,201
WĄTOREK,201
WĘGOROWSKA,201
WŁUDYKA,201
WOŁOWCZYK,201
ZAJAS,201
ZAWRZYKRAJ,201
ZIELNIK,201
ZWIERZYKOWSKA,201
BABISZ,200
BIEDAK,200
BŁACHUTA,200
BŁOCKA,200
BODURKA,200
BORECZEK,200
BUŹNIAK,200
CENA,200
CHRUSTEK,200
CIEPAŁ,200
CISZ,200
CZŁAPA,200
CZUBAŁA,200
DALEKA,200
FALANDYSZ,200
GAĆ,200
GAŁGAN,200
GERULA,200
GŁĄBIK,200
GOCEL,200
GRZECZKA,200
HABRAJSKA,200
HADRIAN,200
HERMA,200
HOPA,200
JASINOWSKA,200
JĄDER,200
JUCHIMIUK,200
KAWAŁKOWSKA,200
KOCZOR,200
KONDERAK,200
KOTEWICZ,200
KRAJCER,200
KRYGIEL,200
KRZYWORZEKA,200
KUMAR,200
LEBIEDŹ,200
LEDER,200
LIBISZEWSKA,200
LUBAK,200
LUBASIŃSKA,200
LUTRZYKOWSKA,200
ŁAPKIEWICZ,200
ŁAWNIK,200
ŁUCARZ,200
MAJDANIK,200
MALKIEWICZ,200
MIĘTEK,200
MORAWIECKA,200
MORKOWSKA,200
NOGŁY,200
NYCEK,200
PACHUT,200
PAKOWSKA,200
PAKURA,200
PALUSZYŃSKA,200
PASTEWSKA,200
PATERKA,200
POCHWATKA,200
POSADZY,200
PRZYKLENK,200
ROZALSKA,200
RÓŻ,200
SASIM,200
SIEŃCZAK,200
SIWIECKA,200
STĄSIEK,200
SZATON,200
SZYLER,200
TEPEREK,200
TYSHCHENKO,200
WALĄG,200
WĄSICKA,200
WIELGOMAS,200
WYSIECKA,200
ZAKHARCHUK,200
ZORYCHTA,200
ALBINIAK,199
BARTULA,199
CHODYRA,199
CHRYCZYK,199
CUPRYŚ,199
CZEMBOR,199
CZERCZAK,199
CZWOJDRAK,199
DALMATA,199
DOLINA,199
DOSTATNIA,199
FABIANOWICZ,199
FRODYMA,199
GBURZYŃSKA,199
GĘSTWA,199
GIELATA,199
GOLEMO,199
GUGA,199
HAJDAMOWICZ,199
IVANIUK,199
JACUŃSKA,199
JASŁOWSKA,199
KIEC,199
KNIAT,199
KOCZYK,199
KONERT,199
KORENKIEWICZ,199
KOTAŃSKA,199
KRAFT,199
KUJAWKA,199
KUSZKA,199
LIBEREK,199
LIPKO,199
ŁAGUNA,199
ŁOWISZ,199
MACIOCH,199
MACYSZYN,199
MIŁOSEK,199
MODRZYK,199
MONICA,199
MORDZAK,199
MORYSON,199
MROZIAK,199
MUSZAK,199
OBAL,199
OSZAJCA,199
PAŃTAK,199
PIELORZ,199
PLIŚ,199
PŁUCIENNICZAK,199
POGROSZEWSKA,199
RUBACH,199
RUSZNICA,199
RYZIŃSKA,199
SKRĘTA,199
SŁUŻAŁEK,199
SMALCERZ,199
STASZAŁEK,199
STOBIERSKA,199
STOJECKA,199
ŚWIĄTNICKA,199
TATARCZUCH,199
TOROŃCZAK,199
TRACZEWSKA,199
TRUSEWICZ,199
WARCHOLIŃSKA,199
WEŁPA,199
WIORA,199
WRZESZCZYŃSKA,199
ZAGAWA,199
ZALIWSKA,199
ZAMBROWSKA,199
BETLIŃSKA,198
BŁOSZYK,198
BROCIEK,198
DOMASZEWSKA,198
DREJA,198
DROŃ,198
DUZIAK,198
DWULIT,198
GAJTKOWSKA,198
GATNAR,198
GAWDA,198
GAWDZIK,198
HASIK,198
HILDEBRAND,198
JACHIM,198
KAMIŃSKI,198
KIRYK,198
KISZKIEL,198
KLAS,198
KNASIAK,198
KNUTELSKA,198
KOLBUS,198
KONONENKO,198
KORBAS,198
KRUSZYK,198
KULICZKOWSKA,198
KULKOWSKA,198
KUNCE,198
LUDYNIA,198
ŁUSZCZKI,198
MANIURA,198
MATŁOK,198
MITAL,198
OSIP,198
OSTAPCHUK,198
PARCHETA,198
PAWELCZAK,198
PEK,198
PŁACZKIEWICZ,198
PODCZASKA,198
PROBIERZ,198
RDEST,198
SOFIŃSKA,198
STEPEK,198
SZCZYREK,198
SZULTKA,198
TROCHIMCZUK,198
USZOK,198
WABNIC,198
WAJSZCZUK,198
WALOTEK,198
WASILCZUK,198
WĘCŁAWIAK,198
WIERCIAK,198
WILCZURA,198
WOJEWSKA,198
WOŹNIACKA,198
YAKOVENKO,198
ZABRZESKA,198
ZGUTKA,198
ZIELAK,198
ZMORZYŃSKA,198
ATAMAN,197
BER,197
BIELATOWICZ,197
BORZUCHOWSKA,197
BOŻĘCKA,197
BROCZKOWSKA,197
BRZEZIK,197
BRZYSZCZ,197
BUNDYRA,197
CHAŁUBIŃSKA,197
CIESZEWSKA,197
DEMBKOWSKA,197
DEMCHENKO,197
DOBRZYKOWSKA,197
DUCHNA,197
DULA,197
FERUŚ,197
FILOCHA,197
FILUŚ,197
FLOR,197
GACOŃ,197
GARCZARCZYK,197
GARDOŃ,197
GRABLEWSKA,197
HEPNER,197
HYSKA,197
JADCZUK,197
JAKUSZEWSKA,197
KALISZAN,197
KARDACZ,197
KELM,197
KIECANA,197
KLUCZKOWSKA,197
KLUPA,197
KOLECKA,197
KOLĘDA,197
KOLORZ,197
KOMADA,197
KOMENDERA,197
KONOŃCZUK,197
KONOP,197
KOZDROWSKA,197
KRENZ,197
KSIĄŻAK,197
KUBIES,197
LUDKIEWICZ,197
MARKOCKA,197
MATUK,197
MĘDRZAK,197
MISIOWIEC,197
MITKOWSKA,197
MLONEK,197
MUZYCZUK,197
OLEJARSKA,197
ORKWISZEWSKA,197
PASZCZYK,197
PEŁECH,197
PIEKIELNIAK,197
PŁACHCIŃSKA,197
POPANDA,197
POSKROBKO,197
POSTROŻNY,197
PRZYBYŁKA,197
PYZIO,197
RUDKO,197
SINIECKA,197
SŁUPCZYŃSKA,197
SOLAWA,197
STARCZYŃSKA,197
SZYK,197
ŚNIECIŃSKA,197
ŚPIEWOK,197
TOMECZEK,197
TWARDAWA,197
TYDA,197
WINCZURA,197
WOLSZA,197
WRYCZA,197
WUWER,197
ZAWILSKA,197
ZBIEĆ,197
ŻUŁAWSKA,197
ADASZYŃSKA,196
ANDRASZ,196
AST,196
BACHUL,196
BARSZCZOWSKA,196
CHLASTAWA,196
CIUREJ,196
DĘGA,196
DOMORADZKA,196
DUDUŚ,196
FRYDRYSIAK,196
HALUPCZOK,196
INGIELEWICZ,196
KALYTA,196
KANAK,196
KAWICKA,196
KLEMBA,196
KOPERKIEWICZ,196
KROC,196
KROKER,196
KUBIESA,196
LASSOTA,196
MANUSZAK,196
MENDELEWSKA,196
MIODUCHOWSKA,196
MOSIEK,196
MULAWKA,196
MUSKUS,196
NABOŻNA,196
NOGACKA,196
OBOZA,196
OCZKOŚ,196
OLBERT,196
PALEWICZ,196
PAŁUBA,196
PIOTR,196
PONETA,196
PRILL,196
PRÓCHNIEWICZ,196
PRUCHNIEWICZ,196
SALEWSKA,196
SAŁASIŃSKA,196
SENDEREK,196
SERDIUK,196
SHCHERBYNA,196
SMARZYŃSKA,196
SUCHOROWSKA,196
SZNOBER,196
SZPINDA,196
SZWAGIERCZAK,196
TRYNIECKA,196
TUŹNIK,196
TYMECKA,196
URBAS,196
WEWIÓR,196
ZBIJOWSKA,196
ZWIEWKA,196
BACHLEDA,195
BARTOSZCZE,195
BEŁDOWSKA,195
BRYCZKOWSKA,195
CIECIERA,195
CZEMPIEL,195
DOŁKOWSKA,195
DURCZYŃSKA,195
DYNEK,195
FALANA,195
GAJDOSZ,195
GARBAS,195
GAWOREK,195
GĄGOL,195
GOLUBSKA,195
GRETKOWSKA,195
HAIN,195
HERMAŃSKA,195
HOBOT,195
HYŻA,195
JELSKA,195
KIEŁKIEWICZ,195
KOCIĘDA,195
KOŁDRAS,195
KONTOWICZ,195
KORPAS,195
KOWYNIA,195
KRYMSKA,195
KRZYWOSZ,195
KUCHERENKO,195
KURYLAK,195
KUŹNIAREK,195
LEGAWIEC,195
LEKAN,195
MIKIELSKA,195
MUSZALIK,195
NAGIEL,195
OJCZYK,195
ORZEŁEK,195
OSTACHOWSKA,195
OTTA,195
PARYŁA,195
PATALON,195
POLEWACZYK,195
POTURALSKA,195
PRZYWOŹNA,195
PUCHALA,195
PUCHAŁKA,195
PUKAŁA,195
RACHOŃ,195
ROKICIŃSKA,195
ROŻNIATOWSKA,195
RYŃ,195
RYŻ,195
SAPUŁA,195
SENDERSKA,195
SERWOTKA,195
SIERPOWSKA,195
SKOTARSKA,195
SMENTOCH,195
SMOLIN,195
STRZEBOŃSKA,195
SULIGOWSKA,195
SYSAK,195
SZCZERBAL,195
THIEDE,195
TOBERA,195
TYMOSHENKO,195
UŁANOWSKA,195
VOZNIUK,195
WOLNIACZYK,195
WYSOPAL,195
ZASUŃ,195
ZBOIŃSKA,195
ZMARZLIK,195
ŻELEWSKA,195
ŻÓŁTAK,195
BIAŁOŃCZYK,194
BIŃCZYCKA,194
BŁASZCZYSZYN,194
BOLIMOWSKA,194
BREJ,194
CHODUBSKA,194
CZANIECKA,194
CZEPCZOR,194
CZYREK,194
DOROSHENKO,194
DYDUŁA,194
GAGO,194
GAŁECZKA,194
GICZEWSKA,194
GIEZ,194
GIŁKA,194
GOLIMOWSKA,194
GUSS,194
HOANG,194
HORDIIENKO,194
JAKUS,194
JAROSZKIEWICZ,194
JESIONKA,194
JOŃCZAK,194
JUNAK,194
KARGULEWICZ,194
KARLSSON,194
KĘCKA,194
KICA,194
KIERASIŃSKA,194
KLEJDYSZ,194
KLUCZNIOK,194
KOMRAUS,194
KORULCZYK,194
KOTAŚ,194
KOŻYCZKOWSKA,194
KUZNIETSOVA,194
LACHENDRO,194
LAUBE,194
LEPIARCZYK,194
MASSALSKA,194
MISIĄG,194
MOTOWIDŁO,194
NIWCZYK,194
NORKOWSKA,194
PABIJAN,194
PIĘKNA,194
POLOWIEC,194
PREDKO,194
RÓŻEK,194
RUMIANOWSKA,194
RYMUT,194
SOBAŚ,194
SOBÓR,194
STRZESAK,194
SZAŁWIŃSKA,194
SZMULEWICZ,194
SZUDRA,194
SZWAJKA,194
ŚCIESIŃSKA,194
TAMBOR,194
TOMALKA,194
TRZASKALSKA,194
WARPECHOWSKA,194
WĄSAK,194
WEJNER,194
WĘCŁAWIK,194
WIEROŃSKA,194
WŁOCHOWICZ,194
WRZECIONO,194
WYTRYKOWSKA,194
BALSAM,193
BAYER,193
BIAŁOTA,193
BODZON,193
CHABINIAK,193
CHAŁUPA,193
CHRUŚLIŃSKA,193
CHWIST,193
CIERPIOŁ,193
CNOTA,193
CZUBALA,193
DANILCZYK,193
DROSZCZ,193
DRZEWUCKA,193
DUKIEWICZ,193
FELIGA,193
FIRKOWSKA,193
FUHRMANN,193
GEMBALA,193
GIDASZEWSKA,193
GIERLAK,193
GILNER,193
GRECH,193
JUJKA,193
JUTKIEWICZ,193
KŁOSKOWSKA,193
KOŁTUNOWICZ,193
KONIKOWSKA,193
KORN,193
KOSTUJ,193
KOSZARSKA,193
KUBAREK,193
LICKIEWICZ,193
MAŁASIEWICZ,193
MAŁKUS,193
MARSZAŁKIEWICZ,193
MATIAS,193
MERSKA,193
MICHUŁKA,193
MODRAS,193
NYCZKA,193
OBOJSKA,193
OLCHAWSKA,193
PALMA,193
PAMIĘTA,193
PARZYBUT,193
PERLIKOWSKA,193
PISANKO,193
PUKACKA,193
PUKACZ,193
PYCZEK,193
RIEGEL,193
ROBACZYŃSKA,193
ROSIECKA,193
ROZNER,193
RULEWSKA,193
RYFKA,193
SABIK,193
SĘDZIKOWSKA,193
SIŁKA,193
SIPOWICZ,193
SKALNIAK,193
STASZ,193
STRULAK,193
STRZEŚNIEWSKA,193
SUPLICKA,193
SUTOWICZ,193
SZABLICKA,193
SZYNSZECKA,193
TARWACKA,193
WAJSZCZYK,193
WANECKA,193
WANIEWSKA,193
WIERZCHUCKA,193
WOJCIESZYŃSKA,193
YILMAZ,193
ZAMOLSKA,193
ZAWADOWSKA,193
ZIELEŹNIK,193
ZNÓJ,193
BARAŃCZUK,192
BARWACZ,192
BASZKIEWICZ,192
BAZYL,192
BIELEJEWSKA,192
BROLL,192
BRUDER,192
BRZEGOWY,192
BYCHOWSKA,192
DALKE,192
DANIELCZAK,192
DRZEŻDŻON,192
DUBIELECKA,192
DZIUB,192
EJDYS,192
FIGACZ,192
FURDYNA,192
GABLER,192
GALASIŃSKA,192
GALIMSKA,192
GANDECKA,192
GDAŃSKA,192
GÓRCZYK,192
GROMULSKA,192
GRZEBINOGA,192
ILCZYSZYN,192
JĘDROSZKOWIAK,192
JUŚ,192
KABUS,192
KAPLITA,192
KŁOBUS,192
KOTOŃSKA,192
KRUTUL,192
LEŚNIAREK,192
ŁACHETA,192
ŁAWNICKA,192
ŁYSY,192
METRYKA,192
MICOR,192
MIGOWSKA,192
MILECKA,192
MOCZKOWSKA,192
MUDRAK,192
MYRTA,192
NAJWER,192
NIEDZIŃSKA,192
NIEWDANA,192
ORNATOWSKA,192
PANOWICZ,192
PATELA,192
PIEKOSZEWSKA,192
PROCHOŃ,192
PSYK,192
RAFALIK,192
REPETOWSKA,192
SAMOJLUK,192
SIEKANIEC,192
SIÓDMIAK,192
STEFAŃCZUK,192
STRAUB,192
SUCHARA,192
SUŚ,192
SZWANKOWSKA,192
TOPYŁA,192
TUŁOWIECKA,192
VLASIUK,192
WANDACHOWICZ,192
WESTPHAL,192
WILDE,192
WYCZAWSKA,192
WYRZYKIEWICZ,192
ZAMĘCKA,192
ANGIELSKA,191
ASMAN,191
BARLIK,191
BEJDA,191
BIERYŁO,191
BLADA,191
BŁAJDA,191
BOCZARSKA,191
CUDO,191
CZARDYBON,191
DRAGA,191
FEDOROWSKA,191
GAJĘCKA,191
GARBAT,191
GEPPERT,191
GIERWATOWSKA,191
GŁOMB,191
GRAJKO,191
JODKOWSKA,191
KADUK,191
KLAT,191
KOCEL,191
KRAMARSKA,191
KRYSTYNIAK,191
KUCHNO,191
KUMÓR,191
LATARSKA,191
LESZCZEWSKA,191
ŁASZCZYCH,191
ŁUSZKIEWICZ,191
MARUSARZ,191
MATYJASIAK,191
MÓŁKA,191
NOWOTNIAK,191
ORGANISTA,191
PABISZ,191
PŁASKOCIŃSKA,191
POCZTOWSKA,191
PODKOŚCIELNA,191
POLESZCZUK,191
POPENDA,191
PRZYCZYNA,191
REDOSZ,191
REJCZAK,191
ROSŁOŃSKA,191
RYBCZYK,191
RYSIEWICZ,191
RZEPCZYK,191
SKABA,191
SZMYDT,191
TEMPLIN,191
TYMOSHCHUK,191
TYTOŃ,191
ULBRYCH,191
URGACZ,191
WARKOCZ,191
WERMIŃSKA,191
WÓŁKIEWICZ,191
WRZALIK,191
ZDAŃSKA,191
ZDUNKIEWICZ,191
ZENKA,191
ZŁOCKA,191
AFFEK,190
BAŁUK,190
BIELAN,190
BOBRUK,190
BORTEL,190
BRAMBOR,190
BURLIŃSKA,190
CAŁUSIŃSKA,190
CIEŻ,190
CZAPCZYK,190
CZEPEK,190
ĆWIELĄG,190
DELIMATA,190
DZIADZIO,190
DZIURKOWSKA,190
FIJAS,190
FRYDA,190
GAJKO,190
GARCZEWSKA,190
GAZDOWICZ,190
GMITEREK,190
GONDZIK,190
GÓRZ,190
GRAJCZYK,190
GRĄDEK,190
GRYCUK,190
GRZEGORZYCA,190
GRZEJDA,190
GRZELACZYK,190
GUTEK,190
HAŁADAJ,190
HAŃCZYK,190
HLIWA,190
KAWNIK,190
KIJANOWSKA,190
KŁOŚ,190
KOCLĘGA,190
KROMKA,190
KSIĘŻARCZYK,190
KUCHARUK,190
KUŹMIUK,190
LAU,190
LIBERKOWSKA,190
LIPIARZ,190
LOLO,190
ŁAZORCZYK,190
ŁOPUCH,190
MACHULSKA,190
MACIASZ,190
MAREKWICA,190
MAŚLANKOWSKA,190
MATYJEK,190
MILKE,190
MOCZADŁO,190
MSTOWSKA,190
NAGŁA,190
OLESIK,190
PABIAŃCZYK,190
PAJDOWSKA,190
PARYSZ,190
PESZYŃSKA,190
PIASKOWY,190
PIELAS,190
PISZCZAŁKA,190
PUZON,190
RAMA,190
RĄCZY,190
RENKIEWICZ,190
RYNIEWICZ,190
RZEPIELA,190
SHAPOVAL,190
SKRUCH,190
SKUCIŃSKA,190
SMOLIS,190
SZOBER,190
SZYLLER,190
TLOŁKA,190
TYRA,190
WALERIAŃCZYK,190
WEIMANN,190
WĘSEK,190
ZACHARZ,190
ZDYBAŁ,190
ŻEREBIEC,190
BALASA,189
BĄCELA,189
BIBIK,189
BIERŁA,189
BIERSKA,189
BORYSENKO,189
BURLIGA,189
CHADRYŚ,189
CIAPUTA,189
CYRWUS,189
CZYSZ,189
DALKOWSKA,189
DESPERAK,189
DREWING,189
DZIURAWIEC,189
FARYNIARZ,189
FILIPIŃSKA,189
FLEISCHER,189
FORDON,189
GERMAN,189
GŁASZCZKA,189
GOŁUSZKA,189
GÓRSZCZYK,189
GULBA,189
HABURA,189
HEŁMECKA,189
HENDRYSIAK,189
JALOWSKA,189
KACIK,189
KAŁOWSKA,189
KOLCZYK,189
KRZYNOWEK,189
KUCZER,189
KUTYBA,189
LEWANDOWSKI,189
LIPIEŃ,189
ŁYZIŃSKA,189
MAKAL,189
MAKAROVA,189
MALCZUK,189
MAŃKIEWICZ,189
MESZKA,189
MULICA,189
NASTULA,189
NIEMCZURA,189
ORKISZEWSKA,189
OSET,189
OSÓBKA,189
OWCA,189
OZIMKOWSKA,189
OZON,189
PILAS,189
PIWKOWSKA,189
PLĄSKOWSKA,189
POPIELEC,189
PRZANOWSKA,189
PURTA,189
PYZNAR,189
REDEL,189
RODZOCH,189
ROGUSZKA,189
RZEMPOŁUCH,189
SKRZYP,189
SŁAWKOWSKA,189
STACHACZ,189
STEINBORN,189
SZTACHELSKA,189
SZWOCH,189
SZYNOL,189
ŚWIATŁA,189
ŚWIĄĆ,189
TLAGA,189
TRZEPACZ,189
WILGUCKA,189
WODNIAK,189
WOJTUSIK,189
WOŁOSEWICZ,189
WORONA,189
ZAGRABA,189
ZIELEWSKA,189
ZYGNERSKA,189
AMBROSZCZYK,188
BAJGER,188
BAJNO,188
BĄDKOWSKA,188
BĄKAŁA,188
BERCZYŃSKA,188
BLACHARSKA,188
BRENK,188
BUCHCIC,188
CHODUR,188
CHRUŚLICKA,188
CICHARSKA,188
CIEKOT,188
CIEŚLAKOWSKA,188
CZUCHA,188
DETKO,188
DROB,188
DRYGIEL,188
DUDZIUK,188
DZIĘBOWSKA,188
FLONT,188
GNIECIAK,188
GREGUŁA,188
HARENDARZ,188
HOLOVKO,188
HOTLOŚ,188
IMIANOWSKA,188
JAKIMCZUK,188
JANISZYN,188
JURECZKA,188
KAKAREKO,188
KALFAS,188
KĄSEK,188
KĘPOWICZ,188
KILIŚ,188
KLECZKA,188
KONSTANCIAK,188
KORCZAKOWSKA,188
KOZAL,188
KRZYSZYCHA,188
KULBAT,188
LUBERADZKA,188
MOZER,188
OSZYWA,188
PATYRA,188
PAWICKA,188
PISKAŁA,188
PIWECKA,188
PODOSEK,188
POŁOWNIAK,188
PROTAS,188
PSONKA,188
RAMIĄCZEK,188
REWAJ,188
RYDUCHOWSKA,188
SŁUŻEWSKA,188
SMERECZYŃSKA,188
ŚWIGUT,188
ŚWINARSKA,188
TESMER,188
TOTOŃ,188
TYMOSIAK,188
UBERMAN,188
WALOS,188
WAŁASZEWSKA,188
WIEWIÓROWSKA,188
WORYNA,188
WRĘBIAK,188
WUJCIK,188
ZARODA,188
ZYBER,188
BAŁAZIŃSKA,187
BĄCIK,187
BEREZHNA,187
BUŁAWSKA,187
BURBA,187
CHWIŁKOWSKA,187
CIEMAŁA,187
CYCHOWSKA,187
CYGA,187
DERLETA,187
DYMEL,187
DZIELSKA,187
DZIERZĘCKA,187
FOSZCZ,187
FUSIEK,187
GARDZIŃSKA,187
GĄSZCZ,187
GIBUŁA,187
HALEJCIO,187
HALIGOWSKA,187
HOLZ,187
IDZIOR,187
JOCZ,187
KARASIAK,187
KISZEL,187
KODYM,187
KORBIK,187
KRYJOM,187
LABA,187
LEJCZAK,187
LESZKA,187
LESZKOWICZ,187
ŁADNA,187
ŁYSKAWKA,187
MAGALSKA,187
MILNER,187
MULAK,187
NAGAJ,187
NAUMENKO,187
NOŻEWSKA,187
OSTAPENKO,187
PARZYGNAT,187
PEC,187
PORADZISZ,187
POSPIESZYŃSKA,187
PRZYSTASZ,187
PRZYŻYCKA,187
PUSZKARSKA,187
RACHUTA,187
RAJS,187
RAPCZYŃSKA,187
RAWIŃSKA,187
REKIEL,187
SAMUEL,187
SKORŻA,187
SMAKOWSKA,187
SOLIK,187
STAWIK,187
SZEPIELAK,187
SZMAŃDA,187
SZPROCH,187
TRZUPEK,187
WACOWSKA,187
WEŁNIC,187
WILKUS,187
WOJCIK,187
WSÓŁ,187
ZDANKIEWICZ,187
ZDRAL,187
ŻŁOBECKA,187
ANDRAKA,186
BARBARSKA,186
BARTLEWSKA,186
BARTŁOMIEJCZAK,186
BERESKA,186
BIZIOR,186
BODZIAK,186
BOTWINA,186
BRACHMAŃSKA,186
BROJA,186
BUŁAKOWSKA,186
CEGIEŁA,186
CHMARZYŃSKA,186
DOWGIAŁŁO,186
DRABICKA,186
DRÓBKA,186
DUBANIEWICZ,186
DZIENNIK,186
FORTUŃSKA,186
FRYŹLEWICZ,186
GODOS,186
GOL,186
GRALEWICZ,186
GUDEL,186
HRYSZKIEWICZ,186
IGNACAK,186
JOSKOWSKA,186
KADULA,186
KAŁAT,186
KARPUS,186
KISŁOWSKA,186
KLUCH,186
KONDZIOR,186
KORBANEK,186
KOSEL,186
KOSUT,186
KUCHARCZUK,186
KURKUS,186
KURMAN,186
LUTO,186
ŁAJEWSKA,186
ŁUKACZ,186
MALATYŃSKA,186
MARTYNENKO,186
MINGA,186
OKUŃ,186
ORSKA,186
OSTROVSKA,186
PAJER,186
PANCEWICZ,186
PIERONKIEWICZ,186
PODKOWSKA,186
POLAŃCZYK,186
RĘCZKOWSKA,186
ROCHOWSKA,186
SCHULTZ,186
SENDROWICZ,186
SIPORSKA,186
SITNICKA,186
SKALNY,186
SPÓRNA,186
STĘŻAŁA,186
SZAŁACH,186
SZAMBORSKA,186
SZENK,186
ŚMIGASIEWICZ,186
TEKIELAK,186
TRUSIEWICZ,186
WAKULUK,186
WASZUT,186
WDOWICZ,186
WĘGIELSKA,186
WNUK-LIPIŃSKA,186
WOŁCZEK,186
WYSIŃSKA,186
ZBRZEZNA,186
ZIĘTALA,186
ŻOŁNIEREK,186
ADEREK,185
BACHMAN,185
BANIECKA,185
BANUL,185
BARECKA,185
BILL,185
BLITEK,185
BOBEREK,185
BOGUSZYŃSKA,185
BOŁTRYK,185
BRAJCZEWSKA,185
BRUDŁO,185
BURZAK,185
CECHOWSKA,185
CHOMKO,185
CHORĄŻEWSKA,185
CZUPER,185
DEPOWSKA,185
DŁUGASZEK,185
DOPKE,185
FLAKIEWICZ,185
FOLCIK,185
GEMBICKA,185
GRUDKA,185
GRZEGÓRZKO,185
GULBICKA,185
HAŚNIK,185
HUBKA,185
HUMIĘCKA,185
JAGUSZTYN,185
JUDKA,185
KLECKA,185
KOSIN,185
KRZĄKAŁA,185
KRZEKOTOWSKA,185
KRZYWIECKA,185
KUŚMIERCZUK,185
LASZCZKA,185
LECHMAN,185
LESZ,185
LUTSENKO,185
ŁĘŻNIAK,185
ŁUPICKA,185
MADETKO,185
MAMOŃ,185
MARCHEWICZ,185
MARGIEL,185
MATEJKOWSKA,185
MICIŃSKA,185
MIKULEWICZ,185
MLICZEK,185
NADOBNIK,185
OBRUŚNIK,185
ORZYŁOWSKA,185
PACUŁT,185
PAJDO,185
PAŹDZIORKO,185
PIELICHOWSKA,185
PIERNIKARCZYK,185
PIESYK,185
POGAN,185
PORCZAK,185
PRANCZK,185
PROCAJŁO,185
RABCZEWSKA,185
REJDAK,185
ROSADZIŃSKA,185
ROSTANKOWSKA,185
ROŻYŃSKA,185
SECH,185
SEKULAR,185
SELL,185
SOBESTO,185
SPERLING,185
STACHERSKA,185
STAJKOWSKA,185
STEINER,185
STRUTYŃSKA,185
SUCHORAB,185
SZARAFIN,185
SZAROTA,185
SZOŁTYS,185
SZYMKO,185
ŚCIANA,185
ŚLEFARSKA,185
WACEK,185
WERA,185
WIERZGACZ,185
WISTUBA,185
WOJCIESZKO,185
WOLAS,185
WROTEK,185
ZAGOZDON,185
ZAHORSKA,185
ZAWITKOWSKA,185
ZYGAN,185
ŻURAWICKA,185
BAJERA,184
BARTYLA,184
BASKA,184
BOSIAK,184
BUDZIOSZ,184
CHAŁAS,184
DAHLKE,184
DANIELCZUK,184
DANIK,184
DASZUTA,184
DOMARUS,184
DONAJ,184
DORNIAK,184
DRUŻBA,184
FIUTOWSKA,184
GAPPA,184
GĘBICZ,184
GNIECKA,184
GOŹDZICKA,184
GREDKA,184
GRODOWSKA,184
GURGACZ,184
HUTA,184
JAHNS,184
JANUR,184
JANUSZYK,184
JASTRZEMSKA,184
JERZEWSKA,184
JUCHNO,184
KARELUS,184
KARMAN,184
KESLER,184
KIJKO,184
KOCZOT,184
KOMIN,184
KORYTEK,184
KOTLĘGA,184
KRASNY,184
KRZYSZTOFOWICZ,184
KULASIŃSKA,184
LALA,184
LAMBERT,184
LASIA,184
LATUS,184
LEONIK,184
