IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
INESSA,KOBIETA,173
ZUZANA,KOBIETA,173
JENNY,KOBIETA,172
AYA,KOBIETA,171
DAMIANA,KOBIETA,171
JULIETTE,KOBIETA,171
CHANEL,KOBIETA,170
EDMUNDA,KOBIETA,170
SCARLETT,KOBIETA,170
VALERIYA,KOBIETA,170
BETTINA,KOBIETA,169
DORA,KOBIETA,169
ESTER,KOBIETA,169
IMAN,KOBIETA,169
SATURNINA,KOBIETA,169
VANESA,KOBIETA,169
BEATRIZ,KOBIETA,168
LEONIDA,KOBIETA,167
OLESYA,KOBIETA,167
PALOMA,KOBIETA,167
ZEYNEP,KOBIETA,167
HENRIETA,KOBIETA,166
KATHRIN,KOBIETA,166
WALTRAUD,KOBIETA,166
BIRUTA,KOBIETA,165
FLORA,KOBIETA,165
LUDOMIŁA,KOBIETA,165
WALTRAUT,KOBIETA,165
ELIGIA,KOBIETA,164
IRIS,KOBIETA,164
JULIETTA,KOBIETA,164
NELI,KOBIETA,164
HANIA,KOBIETA,163
NORA,KOBIETA,163
WISŁAWA,KOBIETA,163
ANNETTE,KOBIETA,162
INGEBORG,KOBIETA,162
TATYANA,KOBIETA,162
WIEŃCZYSŁAWA,KOBIETA,162
EVELYN,KOBIETA,161
CECILIA,KOBIETA,160
IVANA,KOBIETA,160
MARINE,KOBIETA,160
ANNIKA,KOBIETA,159
NADEJDA,KOBIETA,159
SYLWINA,KOBIETA,159
YASMINE,KOBIETA,159
MARGARETE,KOBIETA,158
EDELTRAUD,KOBIETA,157
JOLA,KOBIETA,157
KATRINA,KOBIETA,157
ALBERTYNA,KOBIETA,156
BELLA,KOBIETA,156
CLAIRE,KOBIETA,156
NADEZHDA,KOBIETA,156
KATE,KOBIETA,155
EMILIYA,KOBIETA,153
IULIA,KOBIETA,153
IWONKA,KOBIETA,153
KAYLA,KOBIETA,153
LUCIE,KOBIETA,153
MALVINA,KOBIETA,153
EDWINA,KOBIETA,152
LOUISE,KOBIETA,152
AFRODYTA,KOBIETA,151
NICOLL,KOBIETA,151
KELLY,KOBIETA,150
AMBER,KOBIETA,149
ANATOLA,KOBIETA,149
DENISA,KOBIETA,149
HANNELORE,KOBIETA,149
ARYNA,KOBIETA,148
HEIDI,KOBIETA,148
KHAVA,KOBIETA,148
KIM,KOBIETA,147
RAQUEL,KOBIETA,147
ZINA,KOBIETA,147
ZYGFRYDA,KOBIETA,147
ANATOLIA,KOBIETA,145
AVA,KOBIETA,145
JOSEPHINE,KOBIETA,145
ŻAKLIN,KOBIETA,145
CYNTIA,KOBIETA,144
LANA,KOBIETA,144
STEFANIIA,KOBIETA,143
ANDŻELA,KOBIETA,142
DARINA,KOBIETA,141
HILDEGARD,KOBIETA,141
KASIA,KOBIETA,141
FRIDA,KOBIETA,140
JULIETA,KOBIETA,140
NEONILA,KOBIETA,140
SABINE,KOBIETA,140
DOMINIQUE,KOBIETA,139
JUTA,KOBIETA,139
KATJA,KOBIETA,139
LILIAN,KOBIETA,139
MARÍA,KOBIETA,139
MARION,KOBIETA,139
SYLWANA,KOBIETA,139
CINDY,KOBIETA,138
KORDULA,KOBIETA,138
LIDA,KOBIETA,138
MERCEDES,KOBIETA,138
JUSTINE,KOBIETA,137
MARGERITA,KOBIETA,137
ANŻELIKA,KOBIETA,136
FLORIANNA,KOBIETA,136
LOLA,KOBIETA,136
DAIANA,KOBIETA,135
KOLETA,KOBIETA,135
LÉA,KOBIETA,135
LOLITA,KOBIETA,135
WIWIANA,KOBIETA,135
YUVAL,KOBIETA,135
LAUREN,KOBIETA,134
SEDA,KOBIETA,134
HILARIA,KOBIETA,133
KEREN,KOBIETA,133
LENKA,KOBIETA,133
NANCY,KOBIETA,133
NILA,KOBIETA,133
YASMINA,KOBIETA,133
GEORGINA,KOBIETA,132
ILANA,KOBIETA,132
KRISTINE,KOBIETA,132
EDELTRAUT,KOBIETA,131
KAMA,KOBIETA,130
LORETTA,KOBIETA,130
ANN,KOBIETA,129
MIHAELA,KOBIETA,129
BEATRICE,KOBIETA,128
JUDITH,KOBIETA,128
KATIE,KOBIETA,128
MAURA,KOBIETA,128
ANI,KOBIETA,127
ANNAMARIA,KOBIETA,127
BEATRYCZE,KOBIETA,127
BERNADYNA,KOBIETA,127
BRIGITTE,KOBIETA,127
ŁARYSA,KOBIETA,127
STEFANIE,KOBIETA,127
EDITA,KOBIETA,126
RYMMA,KOBIETA,126
VIORICA,KOBIETA,126
CAMILLE,KOBIETA,125
KORA,KOBIETA,125
ZARINA,KOBIETA,124
ANNEMARIE,KOBIETA,123
ASHLEY,KOBIETA,123
CARINA,KOBIETA,123
ELLEN,KOBIETA,123
JUTTA,KOBIETA,123
LETICIA,KOBIETA,123
LIUBOU,KOBIETA,123
SYBILA,KOBIETA,123
ARETA,KOBIETA,122
MALENA,KOBIETA,121
ALEXIA,KOBIETA,120
ANASTASIJA,KOBIETA,120
AYLIN,KOBIETA,120
ESRA,KOBIETA,120
FIONA,KOBIETA,120
HILA,KOBIETA,120
MARISA,KOBIETA,120
XYMENA,KOBIETA,120
ANNABELLE,KOBIETA,119
GISELA,KOBIETA,119
JULIJA,KOBIETA,119
ZUZA,KOBIETA,119
LILLIAN,KOBIETA,118
TANIA,KOBIETA,118
ANAHIT,KOBIETA,117
FILIPINA,KOBIETA,117
GABRIELE,KOBIETA,117
MADELEINE,KOBIETA,117
NARINE,KOBIETA,117
ROSANNA,KOBIETA,117
XENIA,KOBIETA,117
DANIELLA,KOBIETA,116
FABIANA,KOBIETA,116
MOLLY,KOBIETA,116
NIKITA,KOBIETA,116
ROSEMARIE,KOBIETA,116
ISABELL,KOBIETA,115
MONA,KOBIETA,115
ALEVTYNA,KOBIETA,114
DAMARIS,KOBIETA,114
DOROTHEA,KOBIETA,114
GAYANE,KOBIETA,114
KHEDA,KOBIETA,114
LUSINE,KOBIETA,114
NATIA,KOBIETA,114
AMIT,KOBIETA,113
LIAT,KOBIETA,113
MATHILDE,KOBIETA,113
NANA,KOBIETA,113
TIFFANY,KOBIETA,113
BERNARDETTA,KOBIETA,112
ITA,KOBIETA,112
KAIA,KOBIETA,112
KIMBERLY,KOBIETA,112
NOGA,KOBIETA,112
RAJMUNDA,KOBIETA,112
EMILIANA,KOBIETA,111
FERNANDA,KOBIETA,111
RODICA,KOBIETA,111
BEATE,KOBIETA,110
IWA,KOBIETA,110
JANET,KOBIETA,110
PIA,KOBIETA,110
HELENE,KOBIETA,109
LIUBA,KOBIETA,109
OŁENA,KOBIETA,109
SUZANA,KOBIETA,109
TAIDA,KOBIETA,109
TELIMENA,KOBIETA,109
BOZHENA,KOBIETA,108
CASSANDRA,KOBIETA,108
KORINA,KOBIETA,108
LIUBOMYRA,KOBIETA,108
PRZEMYSŁAWA,KOBIETA,108
WILMA,KOBIETA,108
ASIA,KOBIETA,107
AYŞE,KOBIETA,107
DALILA,KOBIETA,107
DOROTHY,KOBIETA,107
YELENA,KOBIETA,107
ZYGRYDA,KOBIETA,107
ELSA,KOBIETA,106
FLAVIA,KOBIETA,106
TOMIRA,KOBIETA,106
MARIANNE,KOBIETA,105
OLESEA,KOBIETA,105
RENATE,KOBIETA,105
SHIR,KOBIETA,105
ALIA,KOBIETA,104
ARKADIA,KOBIETA,104
FEDERICA,KOBIETA,104
JEANETTE,KOBIETA,104
KWIRYNA,KOBIETA,104
LEONIE,KOBIETA,104
LILIT,KOBIETA,104
OFELIA,KOBIETA,104
SELIN,KOBIETA,104
CATERINA,KOBIETA,103
FRIEDA,KOBIETA,103
HENRIETTA,KOBIETA,103
KARIONA,KOBIETA,103
LIJA,KOBIETA,103
TARA,KOBIETA,103
VANDA,KOBIETA,103
GAL,KOBIETA,102
MAKKA,KOBIETA,102
MARYSIA,KOBIETA,102
RENISŁAWA,KOBIETA,102
SASKIA,KOBIETA,102
SELMA,KOBIETA,102
YASEMIN,KOBIETA,102
LUCIANA,KOBIETA,101
MERYEM,KOBIETA,101
NETA,KOBIETA,101
RAYANA,KOBIETA,101
AYLA,KOBIETA,100
DARIYA,KOBIETA,100
FARIDA,KOBIETA,100
MAKSYMILIANA,KOBIETA,100
VIOLA,KOBIETA,100
ZORYANA,KOBIETA,100
ALEJANDRA,KOBIETA,99
CHRISTA,KOBIETA,99
DAGMAR,KOBIETA,99
DAGNY,KOBIETA,99
ELLI,KOBIETA,99
EMINE,KOBIETA,99
GIOVANNA,KOBIETA,99
REHINA,KOBIETA,99
SALWINA,KOBIETA,99
STEPANIIA,KOBIETA,99
ERICA,KOBIETA,98
FLORENCIA,KOBIETA,98
MINA,KOBIETA,98
ARIA,KOBIETA,97
DILARA,KOBIETA,97
MARGITA,KOBIETA,97
MICAELA,KOBIETA,97
NONNA,KOBIETA,97
