IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZENONA,KOBIETA,7127
ESTERA,KOBIETA,7002
MELANIA,KOBIETA,6966
ADA,KOBIETA,6889
NADIIA,KOBIETA,6841
BERNADETTA,KOBIETA,6660
MIA,KOBIETA,6413
WALENTYNA,KOBIETA,6403
HILDEGARDA,KOBIETA,6389
INNA,KOBIETA,6312
ZENOBIA,KOBIETA,6251
DONATA,KOBIETA,6215
LUDMIŁA,KOBIETA,6183
FELICJA,KOBIETA,6154
ANETTA,KOBIETA,6064
BIANKA,KOBIETA,5922
LARYSA,KOBIETA,5921
ROMUALDA,KOBIETA,5885
OTYLIA,KOBIETA,5557
ELENA,KOBIETA,5536
GIZELA,KOBIETA,5531
AMANDA,KOBIETA,5339
PELAGIA,KOBIETA,5269
IRMINA,KOBIETA,5153
LIUBOV,KOBIETA,5039
RITA,KOBIETA,5039
ERYKA,KOBIETA,4896
OLEKSANDRA,KOBIETA,4869
IDA,KOBIETA,4857
LILIA,KOBIETA,4851
SŁAWOMIRA,KOBIETA,4806
MAYA,KOBIETA,4804
BERNARDA,KOBIETA,4716
LILLA,KOBIETA,4697
YANA,KOBIETA,4620
LONGINA,KOBIETA,4579
ALLA,KOBIETA,4562
WALERIA,KOBIETA,4548
TEODOZJA,KOBIETA,4498
RYSZARDA,KOBIETA,4361
TEODORA,KOBIETA,4352
EMMA,KOBIETA,4167
ADELAJDA,KOBIETA,4106
KAMILLA,KOBIETA,3847
MIRELA,KOBIETA,3840
ALBINA,KOBIETA,3823
LILIIA,KOBIETA,3775
FAUSTYNA,KOBIETA,3464
ALONA,KOBIETA,3388
SAMANTA,KOBIETA,3368
OLIMPIA,KOBIETA,3362
LILA,KOBIETA,3347
FELIKSA,KOBIETA,3306
ALEXANDRA,KOBIETA,3248
LUCJA,KOBIETA,3248
MARYLA,KOBIETA,3194
MARCELA,KOBIETA,3144
SOFIIA,KOBIETA,3141
ZYTA,KOBIETA,3134
SOFIA,KOBIETA,3106
LEONARDA,KOBIETA,3072
GAJA,KOBIETA,3054
MARIANA,KOBIETA,3011
ANGELINA,KOBIETA,2977
IVANNA,KOBIETA,2946
VERONIKA,KOBIETA,2934
VIKTORIA,KOBIETA,2934
OKTAWIA,KOBIETA,2821
KSENIA,KOBIETA,2803
VALERIIA,KOBIETA,2796
KONSTANCJA,KOBIETA,2768
PAMELA,KOBIETA,2745
ZOJA,KOBIETA,2729
KHRYSTYNA,KOBIETA,2718
WANESSA,KOBIETA,2663
BOLESŁAWA,KOBIETA,2503
BOGNA,KOBIETA,2498
JAGNA,KOBIETA,2467
MIRELLA,KOBIETA,2434
CLAUDIA,KOBIETA,2430
LESIA,KOBIETA,2412
NOEMI,KOBIETA,2396
KRZYSZTOFA,KOBIETA,2333
